Image,Model,Top1_Class,Top1_Confidence_%,Top5_Predictions
Rose_3.jpg,InceptionV3,bee,13.42,bee (13.4%) | picket_fence (9.8%) | hip (7.8%) | daisy (5.6%) | cabbage_butterfly (3.9%)
Rose_4.jpg,InceptionV3,hip,24.92,hip (24.9%) | pot (10.7%) | picket_fence (6.3%) | earthstar (5.3%) | stinkhorn (4.4%)
Marigold_0.jpg,InceptionV3,cardoon,18.12,cardoon (18.1%) | daisy (5.3%) | pot (4.4%) | earthstar (3.8%) | hen-of-the-woods (2.6%)
Marigold_1.jpg,InceptionV3,daisy,53.41,daisy (53.4%) | sulphur_butterfly (3.0%) | bee (2.4%) | cabbage_butterfly (1.8%) | monarch (1.7%)
Marigold_2.jpg,InceptionV3,daisy,81.08,daisy (81.1%) | cardoon (1.1%) | bee (0.8%) | stinkhorn (0.5%) | sulphur_butterfly (0.4%)
Marigold_3.jpg,InceptionV3,daisy,67.2,daisy (67.2%) | earthstar (2.5%) | cardoon (2.3%) | hen-of-the-woods (0.8%) | pot (0.8%)
Marigold_4.jpg,InceptionV3,daisy,83.1,daisy (83.1%) | vase (2.3%) | cup (1.1%) | pot (0.6%) | packet (0.5%)
Hibiscus_0.jpg,InceptionV3,pot,13.27,pot (13.3%) | hip (6.2%) | centipede (6.1%) | picket_fence (5.1%) | ant (5.0%)
Hibiscus_1.jpg,InceptionV3,picket_fence,36.06,picket_fence (36.1%) | pot (9.8%) | hip (6.6%) | greenhouse (4.7%) | chainlink_fence (3.0%)
Hibiscus_2.jpg,InceptionV3,daisy,17.17,daisy (17.2%) | pot (11.1%) | picket_fence (6.9%) | earthstar (4.8%) | greenhouse (2.4%)
Hibiscus_3.jpg,InceptionV3,pot,29.08,pot (29.1%) | picket_fence (13.6%) | hip (8.4%) | greenhouse (7.4%) | daisy (5.3%)
Hibiscus_4.jpg,InceptionV3,pot,17.81,pot (17.8%) | greenhouse (17.2%) | picket_fence (16.1%) | hip (4.1%) | hummingbird (2.5%)
Nayantara_0.jpg,InceptionV3,pot,64.05,pot (64.1%) | mortar (3.4%) | bubble (2.4%) | greenhouse (2.2%) | daisy (1.7%)
Nayantara_1.jpg,InceptionV3,pot,24.04,pot (24.0%) | ant (8.1%) | earthstar (4.2%) | greenhouse (3.5%) | strawberry (2.8%)
Nayantara_2.jpg,InceptionV3,pot,18.81,pot (18.8%) | green_lizard (5.9%) | greenhouse (1.9%) | ant (1.7%) | picket_fence (1.6%)
Nayantara_3.jpg,InceptionV3,pot,69.88,pot (69.9%) | greenhouse (1.8%) | vase (1.3%) | picket_fence (1.1%) | ant (1.1%)
Nayantara_4.jpg,InceptionV3,pot,28.08,pot (28.1%) | stinkhorn (3.0%) | dragonfly (2.7%) | earthstar (2.6%) | greenhouse (2.6%)
sunflower_0.jpg,Xception,daisy,92.98,daisy (93.0%) | bee (0.5%) | pot (0.3%) | picket_fence (0.2%) | sulphur_butterfly (0.2%)
sunflower_1.jpg,Xception,daisy,90.2,daisy (90.2%) | pot (0.6%) | bee (0.5%) | picket_fence (0.4%) | rapeseed (0.4%)
sunflower_2.jpg,Xception,daisy,86.64,daisy (86.6%) | rapeseed (0.4%) | picket_fence (0.2%) | sulphur_butterfly (0.2%) | bee (0.2%)
sunflower_3.jpg,Xception,daisy,94.53,daisy (94.5%) | sulphur_butterfly (0.2%) | vase (0.2%) | bee (0.2%) | pot (0.1%)
sunflower_4.jpg,Xception,daisy,81.29,daisy (81.3%) | pot (0.5%) | sulphur_butterfly (0.4%) | picket_fence (0.3%) | bee (0.3%)
Rose_0.jpg,Xception,stinkhorn,11.3,stinkhorn (11.3%) | hip (8.8%) | hummingbird (7.4%) | sulphur_butterfly (7.0%) | bee (3.7%)
Rose_1.jpg,Xception,hip,35.25,hip (35.3%) | pot (4.7%) | chainlink_fence (2.9%) | sulphur_butterfly (2.7%) | picket_fence (2.0%)
Rose_2.jpg,Xception,hip,14.1,hip (14.1%) | bee (5.4%) | cabbage_butterfly (3.2%) | sulphur_butterfly (2.6%) | rapeseed (2.6%)
Rose_3.jpg,Xception,hip,15.68,hip (15.7%) | bee (5.2%) | cabbage_butterfly (3.9%) | hummingbird (3.6%) | sulphur_butterfly (3.4%)
Rose_4.jpg,Xception,pot,24.59,pot (24.6%) | hip (21.9%) | picket_fence (2.9%) | bee (2.2%) | cabbage_butterfly (1.9%)
Marigold_0.jpg,Xception,cardoon,32.06,cardoon (32.1%) | stinkhorn (6.6%) | daisy (5.6%) | gyromitra (3.9%) | strawberry (2.7%)
Marigold_1.jpg,Xception,daisy,25.0,daisy (25.0%) | spaghetti_squash (12.5%) | hair_slide (9.4%) | corn (6.2%) | cardoon (3.8%)
Marigold_2.jpg,Xception,daisy,28.92,daisy (28.9%) | cardoon (3.4%) | earthstar (2.6%) | spaghetti_squash (1.8%) | sulphur_butterfly (1.2%)
Marigold_3.jpg,Xception,daisy,19.63,daisy (19.6%) | coral_fungus (10.8%) | pot (3.7%) | earthstar (3.2%) | cardoon (2.3%)
Marigold_4.jpg,Xception,daisy,39.86,daisy (39.9%) | pot (11.1%) | cardoon (8.8%) | earthstar (1.1%) | coral_fungus (1.0%)
Hibiscus_0.jpg,Xception,bee,17.5,bee (17.5%) | pot (17.0%) | hip (10.1%) | earthstar (6.2%) | buckeye (5.6%)
Hibiscus_1.jpg,Xception,earthstar,16.14,earthstar (16.1%) | bee (6.1%) | pot (6.1%) | strawberry (5.3%) | daisy (5.3%)
Hibiscus_2.jpg,Xception,cabbage_butterfly,8.49,cabbage_butterfly (8.5%) | daisy (7.9%) | earthstar (6.5%) | pot (3.8%) | plastic_bag (2.2%)
Hibiscus_3.jpg,Xception,daisy,52.56,daisy (52.6%) | earthstar (12.0%) | pot (7.2%) | picket_fence (3.9%) | cabbage_butterfly (2.3%)
Hibiscus_4.jpg,Xception,earthstar,46.79,earthstar (46.8%) | pot (13.1%) | daisy (9.1%) | hip (3.3%) | cabbage_butterfly (2.0%)
Nayantara_0.jpg,Xception,pot,14.45,pot (14.4%) | acorn (7.7%) | tree_frog (6.3%) | green_lizard (3.4%) | cucumber (2.8%)
Nayantara_1.jpg,Xception,earthstar,21.77,earthstar (21.8%) | pot (9.5%) | pinwheel (8.6%) | ant (6.2%) | strawberry (2.5%)
Nayantara_2.jpg,Xception,pot,23.24,pot (23.2%) | daisy (8.4%) | earthstar (4.0%) | green_lizard (2.7%) | ant (2.6%)
Nayantara_3.jpg,Xception,pot,44.62,pot (44.6%) | earthstar (12.0%) | picket_fence (3.1%) | hip (2.3%) | walking_stick (1.1%)
Nayantara_4.jpg,Xception,earthstar,17.87,earthstar (17.9%) | pot (14.7%) | yellow_lady's_slipper (8.0%) | daisy (4.8%) | buckeye (4.3%)
sunflower_0.jpg,MobileNetV2,daisy,85.53,daisy (85.5%) | bee (1.0%) | fly (0.5%) | rapeseed (0.5%) | cricket (0.2%)
sunflower_1.jpg,MobileNetV2,daisy,87.59,daisy (87.6%) | bee (1.2%) | fly (0.4%) | rapeseed (0.4%) | cricket (0.2%)
sunflower_2.jpg,MobileNetV2,daisy,85.25,daisy (85.2%) | bee (0.6%) | fly (0.4%) | cricket (0.2%) | sulphur_butterfly (0.2%)
sunflower_3.jpg,MobileNetV2,daisy,89.11,daisy (89.1%) | bee (0.7%) | fly (0.5%) | pot (0.2%) | cricket (0.1%)
sunflower_4.jpg,MobileNetV2,daisy,88.92,daisy (88.9%) | bee (0.6%) | sulphur_butterfly (0.3%) | fly (0.3%) | ringlet (0.2%)
Rose_0.jpg,MobileNetV2,hip,11.77,hip (11.8%) | ant (10.1%) | velvet (8.2%) | bee (7.6%) | stinkhorn (7.0%)
Rose_1.jpg,MobileNetV2,hip,18.15,hip (18.2%) | ant (6.0%) | stinkhorn (5.9%) | bee (5.5%) | hummingbird (3.2%)
Rose_2.jpg,MobileNetV2,hip,17.13,hip (17.1%) | bee (10.3%) | coral_fungus (6.1%) | hummingbird (3.0%) | cardoon (2.5%)
Rose_3.jpg,MobileNetV2,coral_fungus,12.17,coral_fungus (12.2%) | hip (6.9%) | bee (5.0%) | stinkhorn (3.2%) | gyromitra (2.8%)
Rose_4.jpg,MobileNetV2,bee,13.21,bee (13.2%) | sulphur_butterfly (8.6%) | picket_fence (4.1%) | hip (3.3%) | bonnet (3.0%)
Marigold_0.jpg,MobileNetV2,goldfish,74.96,goldfish (75.0%) | cardoon (3.2%) | stinkhorn (1.6%) | isopod (1.0%) | earthstar (1.0%)
Marigold_1.jpg,MobileNetV2,hen-of-the-woods,16.55,hen-of-the-woods (16.5%) | coral_fungus (12.8%) | coral_reef (5.3%) | sea_anemone (5.2%) | cardoon (4.7%)
Marigold_2.jpg,MobileNetV2,spaghetti_squash,12.35,spaghetti_squash (12.4%) | stinkhorn (8.7%) | pineapple (5.5%) | cardoon (4.7%) | strawberry (3.8%)
Marigold_3.jpg,MobileNetV2,coral_fungus,21.18,coral_fungus (21.2%) | hen-of-the-woods (13.4%) | spaghetti_squash (7.9%) | earthstar (6.8%) | gyromitra (3.0%)
Marigold_4.jpg,MobileNetV2,coral_fungus,14.78,coral_fungus (14.8%) | hen-of-the-woods (9.5%) | coral_reef (5.2%) | miniature_poodle (3.7%) | volcano (2.9%)
Hibiscus_0.jpg,MobileNetV2,cabbage_butterfly,30.3,cabbage_butterfly (30.3%) | lycaenid (15.7%) | pot (3.5%) | daisy (2.8%) | bee (2.2%)
Hibiscus_1.jpg,MobileNetV2,cabbage_butterfly,81.02,cabbage_butterfly (81.0%) | lycaenid (3.5%) | ringlet (1.3%) | daisy (0.9%) | golf_ball (0.3%)
Hibiscus_2.jpg,MobileNetV2,cabbage_butterfly,75.18,cabbage_butterfly (75.2%) | lycaenid (0.7%) | sulphur_butterfly (0.6%) | daisy (0.5%) | ringlet (0.4%)
Hibiscus_3.jpg,MobileNetV2,cabbage_butterfly,69.2,cabbage_butterfly (69.2%) | daisy (5.2%) | ringlet (2.3%) | lycaenid (1.6%) | sulphur_butterfly (0.7%)
Hibiscus_4.jpg,MobileNetV2,cabbage_butterfly,13.38,cabbage_butterfly (13.4%) | daisy (10.6%) | lycaenid (7.7%) | pot (6.3%) | earthstar (3.5%)
Nayantara_0.jpg,MobileNetV2,pinwheel,40.38,pinwheel (40.4%) | pot (18.3%) | starfish (2.7%) | daisy (2.0%) | acorn (1.4%)
Nayantara_1.jpg,MobileNetV2,pot,28.49,pot (28.5%) | pinwheel (26.5%) | earthstar (5.2%) | daisy (3.9%) | bell_pepper (2.3%)
Nayantara_2.jpg,MobileNetV2,pot,36.59,pot (36.6%) | daisy (17.0%) | pinwheel (9.2%) | greenhouse (1.9%) | bell_pepper (1.6%)
Nayantara_3.jpg,MobileNetV2,daisy,23.04,daisy (23.0%) | pot (10.2%) | pinwheel (8.4%) | cabbage_butterfly (5.6%) | fly (4.2%)
Nayantara_4.jpg,MobileNetV2,hip,17.16,hip (17.2%) | pot (9.0%) | daisy (8.8%) | cabbage_butterfly (4.1%) | harvestman (3.6%)
sunflower_0.jpg,DenseNet121,daisy,93.63,daisy (93.6%) | bee (3.3%) | fly (0.9%) | sulphur_butterfly (0.7%) | monarch (0.3%)
sunflower_1.jpg,DenseNet121,daisy,96.21,daisy (96.2%) | bee (1.5%) | sulphur_butterfly (0.4%) | rapeseed (0.4%) | fly (0.3%)
